id,type,text1,text2,text3,text4,notes
ne_hailstorm,SHIP,A rare dedicated missile support hull designed to spearhead pathfinder exploratory groups. With much of the onboard space either taken by equipment for high sensory or military applications. Ships are often seen accompanying a larger fleet capable of supplying and maintaining such specialized ships in deep space. ,,,,
ne_toros,SHIP,"Purposely designed to fulfill the need of both fuel and supply requirements of resupply for stations and fleets. The utilitarian design, friendly for the intended role, proves less so for the crew aboard. With the only accessible crew and general maintenance quarters only around the ‘frame’ of the ship. Many onboard engineers are often seen frantically navigating the long stretches of the ship to reach subsystems.

Able to provide suppressive elements with dual missile emplacements. Mounting of such weapon systems are often ignored by seasoned crews opting to divert more power to shields for increased survivability. ",,,,
ne_shorefast,SHIP,"The Shorefast provides a strong defensive backbone bridging the gap for a bulkier more resilient destroyer able to be fielded by the Expedition. Historically, traditional Northern Expedition forces favored maneuverable ships able to strike deep within enemy lines before retreating. Repeated incursions and unexpected losses with remnant fleets, represented a turning point internally within Expedition armada doctrine. 

A more progrssive movement was implemented adapting pre-existing fleets to allow for more flexible compositions. The Shorefast was the culmination of the joint effort between military and civilian contractors. Carrying a considerable arrangement of mounts for the class. The onboard damper field allows for extended engagements in frontline combat. Experienced captains aboard vessels are not uncommon, in part due to extensive training and rugged definitions of the ship.",,,,
ne_accretion,SHIP,"Created as a deep space exploration vessel, elements and challenges of deep space were largely unknown at the time of design. The NESDT (Northern Expedition Support and Design Team) was issued with the daunting trial of outfitting a capable vessel able to venture into distant stars. The result was a powerful jack-of-all trades ship able to outperform similarly sized vessels without sacrifice to key areas. Aggressive frontal arcs and decent maneuverability meant captains could commit aggressive maneuvers, otherwise seen as reckless.  

The result of the advanced mixed package is reflected in the high cost of production. Sporting a scaled down yet effective frostcore engine. The distinct glowing radiators are a common identification method for spotting returning vessels entering Expedition airspace. Able to be operated as independent or semi-independent, recently they are commonly seen as flagships or a part of larger fleet compositions.",,,,
,,,,,,
,,,,,,
ne_polaire,SHIP,A common all-around fighter employed by Northern Expedition carrier groups. Commendable shields paired with impressive firepower allows the Polaire to excel in dogfighting scenarios.,,,,
ne_yowling,SHIP,The yowling class has seen large success in being deployed alongside supporting strike craft capable of unleashing deadly payload.,,,,
ne_skafl,SHIP,"A reliable torpedo strike craft, the Skafl is often at the spearhead of strike forces. Primarily focused on finishing exposed ships.",,,,
,,,,,,
ne_austice,PLANET,,,,,
,,,,,,
northernexpedition,FACTION,"After the successful discovery of the strategically important resource ‘novrinium’ by an early Domain exploration fleet by the Outer Northern Expeditionary Force. Communications quickly ceased before accurate coordinates would be successfully transferred. 

As the collapse of the Domain gate network happened quickly and without warning. Critical food supplies dwindled, harrowing stories of survival among the previously growing population became commonplace. The newly founded joint military/civilian government laid the groundwork to what would ultimately become the centralized government of the Northern Expedition. Once again taking up the mantle set aside by their forebears, pockets of civilization planetside banded together spurred on by the motto, “Strength through Unity; Unity through sacrifice”. Utilizing the highly abundant and efficient ‘novrinium’ into industrial and domestic applications. The population of Asutice which once faced extinction slowly grew sizable, once again ready to explore the reaches beyond their sector. 

Isolated from the core sector worlds, the advantages of heightened knowledge of other worlds propagated by sporadic trade pushed the decision to slowly open borders. Decades of growth and development branched Northern Expedition into a small but powerful force within the Northern space. ",,,,
